gene,rna_lfc,rna_p,prot_lfc,prot_p,gwas_p,concordant,gwas_p_floored,transcriptomic,proteomic,genomic,score
ITSN2,-0.925,0.366,-0.051073195,2.83e-11,2e-08,True,2e-08,0.925,0.051073195,7.698970004336019,2.8916810664453396
SPRED2,1.1,0.00235,-0.039674517,0.065795527,3e-08,False,3e-08,1.1,0.039674517,7.522878745280337,2.8875177540934454
NFIX,-1.66,0.041,0.000592169,1.0,1e-07,False,1e-07,1.66,0.000592169,7.0,2.8868640563333328
SF3B3,0.483,0.148,0.021538608,9.88e-05,7e-09,True,7e-09,0.483,0.021538608,8.154901959985743,2.8864801893285805
TIMP2,1.04,0.128,0.093456017,8.21e-07,3e-08,True,3e-08,1.04,0.093456017,7.522878745280337,2.8854449207601123
ENPP6,-0.603,0.623,0.045902635,0.753455942,1e-08,False,1e-08,0.603,0.045902635,8.0,2.8829675449999996
MAP4,2.06,4.82e-05,-0.064573879,0.001634044,3e-07,False,3e-07,2.06,0.064573879,6.522878745280337,2.882484208093446
TSC22D1,0.893,0.183,-0.05079934,0.015880825,2e-08,False,2e-08,0.893,0.05079934,7.698970004336019,2.880923114778673
LRIG1,0.904,0.097,0.035224464,0.091339987,2e-08,True,2e-08,0.904,0.035224464,7.698970004336019,2.879398156112006
ATXN2L,-0.592,0.59,-0.045808035,0.000236534,1e-08,True,1e-08,0.592,0.045808035,8.0,2.879269345
DLG2,0.395,0.253,0.012101631,0.226908457,6e-09,True,6e-09,0.395,0.012101631,8.221848749616356,2.8763167935387854
TMEM163,0.179,0.658,-0.036686344,0.004292076,4e-09,False,4e-09,0.179,0.036686344,8.397940008672037,2.871208784224012
JUP,0.572,0.449,-0.033825107,0.004982759,1e-08,False,1e-08,0.572,0.033825107,8.0,2.868608369
PARN,1.04,0.0116,-0.029896567,0.134687025,3e-08,False,3e-08,1.04,0.029896567,7.522878745280337,2.8642584374267788
PDE8A,1.05,0.026,0.015376172,1.0,3e-08,True,3e-08,1.05,0.015376172,7.522878745280337,2.8627516390934455
HPCAL1,1.55,0.0893,-0.036724974,0.069118284,1e-07,False,1e-07,1.55,0.036724974,7.0,2.8622416579999994
KLHL42,-0.534,0.0934,-0.045201792,0.007863404,1e-08,True,1e-08,0.534,0.045201792,8.0,2.8597339306666667
MOBP,-1.55,0.0601,0.027677543,1.0,1e-07,False,1e-07,1.55,0.027677543,7.0,2.859225847666666
CELF1,-0.563,0.0567,4.84e-05,0.998869646,1e-08,False,1e-08,0.563,4.84e-05,8.0,2.8543494666666667
EHHADH,-0.835,0.238,-0.014898763,0.641383755,2e-08,True,2e-08,0.835,0.014898763,7.698970004336019,2.8496229224453398
ELMO1,2.5,0.000481,0.03543859,0.23692229,1e-06,True,1e-06,2.5,0.03543859,6.0,2.8451461966666667
PTPRG,1.12,0.0465,-0.003923822,1.0,4e-08,False,4e-08,1.12,0.003923822,7.3979400086720375,2.840621276890679
COL25A1,-0.958,0.188,1.459160874,8.47e-17,8e-07,False,8e-07,0.958,1.459160874,6.096910013008056,2.8380236290026852
PCCA,0.971,0.0243,-0.019505272,0.094991396,3e-08,False,3e-08,0.971,0.019505272,7.522878745280337,2.837794672426779
PTDSS2,-0.494,0.365,0.014992177,0.853596288,1e-08,False,1e-08,0.494,0.014992177,8.0,2.8363307256666666
MTMR2,-0.204,0.822,-0.003146448,0.639076553,5e-09,True,5e-09,0.204,0.003146448,8.301029995663981,2.83605881455466
SH3D19,0.932,0.175,-0.045317371,0.385776042,3e-08,False,3e-08,0.932,0.045317371,7.522878745280337,2.8333987054267786
NSF,-1.48,0.00617,-0.016817868,0.128536489,1e-07,True,1e-07,1.48,0.016817868,7.0,2.8322726226666664
DCC,0.766,0.111,-0.029048536,0.090179929,2e-08,False,2e-08,0.766,0.029048536,7.698970004336019,2.8313395134453394
CTSH,-0.04,0.961,0.039640569,0.681016804,4e-09,False,4e-09,0.04,0.039640569,8.397940008672037,2.8258601925573457
AP2A2,1.21,0.00311,-0.041068468,2.77e-06,6e-08,False,6e-08,1.21,0.041068468,7.221848749616356,2.824305739205452
MAGI2,-3.02,2.44e-05,-0.010000009,0.154799768,4e-06,True,4e-06,3.02,0.010000009,5.3979400086720375,2.8093133392240124
TANC2,-2.13,0.0535,-0.043873364,1.5e-05,6e-07,True,6e-07,2.13,0.043873364,6.221848749616356,2.7985740378721182
IARS2,0.829,0.0482,-0.036204999,4.04e-05,3e-08,False,3e-08,0.829,0.036204999,7.522878745280337,2.796027914760112
WBP1L,-0.195,0.583,-0.036852514,0.432967318,7e-09,True,7e-09,0.195,0.036852514,8.154901959985743,2.795584824661914
HLA-DRB1,0.775,0.239,0.086235034,0.468831514,3e-08,True,3e-08,0.775,0.086235034,7.522878745280337,2.7947045930934453
ABCB1,-1.03,0.00898,-0.049044147,0.001631829,5e-08,True,5e-08,1.03,0.049044147,7.301029995663981,2.79335804755466
MTM1,-1.27,0.0373,0.012945804,0.354713272,8e-08,False,8e-08,1.27,0.012945804,7.096910013008056,2.7932852723360186
EML6,-1.63,0.0864,-0.050018728,7.78e-06,2e-07,True,2e-07,1.63,0.050018728,6.698970004336019,2.7929962441120058
CD55,0.647,0.519,-0.029469885,1.0,2e-08,False,2e-08,0.647,0.029469885,7.698970004336019,2.7918132964453397
HS6ST3,-3.08,0.000776,-0.053532756,0.053297574,6e-06,True,6e-06,3.08,0.053532756,5.221848749616356,2.7851271685387853
ACTN4,-0.982,0.107,-0.064622743,2.96e-11,5e-08,True,5e-08,0.982,0.064622743,7.301029995663981,2.7825509128879937
DCAF7,-2.17,0.00356,-0.011350291,0.244200346,7e-07,True,7e-07,2.17,0.011350291,6.154901959985743,2.7787507503285807
COL4A2,-2.29,0.00862,-0.040731388,0.328743288,1e-06,True,1e-06,2.29,0.040731388,6.0,2.7769104626666667
GRAMD1B,0.299,0.487,-0.0105191,1.0,1e-08,False,1e-08,0.299,0.0105191,8.0,2.7698397
NPC1,0.575,0.316,0.032991818,0.292421895,2e-08,True,2e-08,0.575,0.032991818,7.698970004336019,2.768987274112006
AGRN,-0.853,0.205,0.052436518,4.57e-07,4e-08,False,4e-08,0.853,0.052436518,7.3979400086720375,2.7677921755573456
RAPGEF2,-0.753,0.0686,-0.02248703,0.13144405,3e-08,True,3e-08,0.753,0.02248703,7.522878745280337,2.7661219250934455
STK3,-0.191,0.728,-0.003360436,0.891387095,8e-09,True,8e-09,0.191,0.003360436,8.096910013008056,2.7637568163360187
ARHGEF28,-2.88,0.00415,0.011892883,0.759500868,4e-06,False,4e-06,2.88,0.011892883,5.3979400086720375,2.7632776305573454
TESC,0.262,0.551,-0.021078982,0.456079414,1e-08,False,1e-08,0.262,0.021078982,8.0,2.761026327333333
PKP2,-0.165,0.919,-0.071631582,0.011573166,9e-09,True,9e-09,0.165,0.071631582,8.045757490560675,2.7607963575202246
TLK2,0.946,0.0737,0.023717205,0.371676595,5e-08,True,5e-08,0.946,0.023717205,7.301029995663981,2.7569157335546604
ANAPC10,0.517,0.166,0.044087561,0.077166925,2e-08,True,2e-08,0.517,0.044087561,7.698970004336019,2.7533525217786727
SLC9A7,0.838,0.179,0.022323853,0.211093491,4e-08,True,4e-08,0.838,0.022323853,7.3979400086720375,2.7527546205573454
WDR41,-2.1,0.0099,-0.000396543,1.0,7e-07,True,7e-07,2.1,0.000396543,6.154901959985743,2.751766167661914
NIT2,1.68,0.0006,-0.048044257,0.085323476,3e-07,False,3e-07,1.68,0.048044257,6.522878745280337,2.750307667426779
PTPRD,-0.51,0.404,0.033422743,0.473301773,2e-08,False,2e-08,0.51,0.033422743,7.698970004336019,2.747464249112006
FEZ1,0.706,0.0571,0.010024576,0.777975972,3e-08,True,3e-08,0.706,0.010024576,7.522878745280337,2.7463011070934455
ARVCF,-1.5,0.0541,0.038543028,0.000852906,2e-07,False,2e-07,1.5,0.038543028,6.698970004336019,2.7458376774453397
RABGEF1,0.0563,0.952,-0.023831856,0.000827494,7e-09,False,7e-09,0.0563,0.023831856,8.154901959985743,2.7450112719952475
NTM,-2.19,0.0116,-0.026886728,0.014132163,1e-06,True,1e-06,2.19,0.026886728,6.0,2.7389622426666667
ACOX1,0.734,0.0503,-0.07415409,7.81e-06,4e-08,False,4e-08,0.734,0.07415409,7.3979400086720375,2.7353646995573455
LCMT1,0.772,0.0394,0.02772646,0.000702356,4e-08,True,4e-08,0.772,0.02772646,7.3979400086720375,2.7325554895573454
AMPH,1.78,0.00687,0.015844963,0.243544361,4e-07,True,4e-07,1.78,0.015844963,6.3979400086720375,2.7312616572240125
THOC1,0.854,0.0238,0.03630459,0.062482341,5e-08,True,5e-08,0.854,0.03630459,7.301029995663981,2.7304448618879937
PNPLA7,-1.07,0.364,0.014785176,0.700710897,8e-08,False,8e-08,1.07,0.014785176,7.096910013008056,2.727231729669352
SCARA3,-0.123,0.935,-0.047091714,0.520966529,1e-08,True,1e-08,0.123,0.047091714,8.0,2.7233639046666664
CD34,-0.609,0.364,0.034868424,0.572022606,3e-08,False,3e-08,0.609,0.034868424,7.522878745280337,2.722249056426779
COG7,0.719,0.356,-0.033800715,0.002822826,4e-08,False,4e-08,0.719,0.033800715,7.3979400086720375,2.7169135745573456
LRRC4C,-2.02,0.00808,-0.033467629,0.011093953,8e-07,True,8e-07,2.02,0.033467629,6.096910013008056,2.7167925473360186
SNX29,-1.44,0.0944,-0.009878979,1.0,2e-07,True,2e-07,1.44,0.009878979,6.698970004336019,2.7162829944453395
OSBPL6,0.81,0.0374,-0.033237686,0.000394408,5e-08,False,5e-08,0.81,0.033237686,7.301029995663981,2.7147558938879937
CDC42SE2,1.42,0.000925,-0.019180497,1.0,2e-07,False,2e-07,1.42,0.019180497,6.698970004336019,2.7127168337786727
CRTC1,0.381,0.612,0.056504251,0.000573744,2e-08,True,2e-08,0.381,0.056504251,7.698970004336019,2.7121580851120064
RGS6,-0.58,0.394,-0.031203399,0.001510577,3e-08,True,3e-08,0.58,0.031203399,7.522878745280337,2.711360714760112
DARS2,-0.582,0.473,0.00788398,0.563216676,3e-08,False,3e-08,0.582,0.00788398,7.522878745280337,2.704254241760112
PHF14,0.0979,0.851,-0.013105361,1.0,1e-08,False,1e-08,0.0979,0.013105361,8.0,2.7036684536666664
ATG13,0.576,0.108,-0.002348262,0.813138955,3e-08,False,3e-08,0.576,0.002348262,7.522878745280337,2.700409002426779
